student_id,first_name,last_name,major_id,graduation_date
1,Ronald,Wheeler,2,2017-08-23
2,Christine,Jackson,7,2022-04-29
3,Robert,Davila,4,2019-09-13
4,Allison,Miller,5,2023-03-01
5,Thomas,Lewis,6,2021-05-22
6,Danielle,Smith,8,2018-12-07
7,Amanda,Henry,3,2017-07-05
8,Cody,Holland,1,2019-06-09
9,Nicole,Castro,8,2021-06-12
10,Julia,Smith,5,2021-11-27
11,Dylan,Roberts,1,2022-06-07
12,Stephen,Taylor,9,2021-10-11
13,Sara,Herrera,1,2019-04-07
14,Jessica,Johnson,4,2020-11-14
15,Kenneth,White,5,2023-06-04
16,Kevin,Young,6,2017-07-20
17,Theresa,Lewis,2,2018-06-27
18,Brenda,Thomas,2,2021-08-21
19,Kelly,Powell,8,2017-10-28
20,Anita,Leon,9,2020-11-28
21,Darren,Evans,6,2021-07-22
22,Jasmine,Martinez,8,2022-04-25
23,Christopher,Hunt,4,2020-07-26
24,Ronald,Christensen,6,2018-08-25
25,Sara,Nielsen,6,2022-08-23
26,Javier,Le,2,2018-02-04
27,Amanda,Lewis,7,2021-07-08
28,Renee,Lamb,6,2018-02-20
29,Ethan,Rush,2,2022-02-19
30,Kelly,Rose,7,2022-04-26
31,Debra,Morris,8,2019-09-23
32,Timothy,Berry,5,2017-09-05
33,Leonard,Meyer,9,2021-11-12
34,Gerald,Martin,7,2018-09-16
35,Patrick,Gomez,8,2021-08-24
36,Trevor,Romero,1,2018-11-08
37,Timothy,Perez,2,2021-06-04
38,Stephen,Moore,5,2020-08-09
39,Angela,Thomas,1,2018-06-24
40,Alvin,Hall,8,2021-11-09
41,Katie,Wilson,1,2018-10-22
42,Gabriel,Shaffer,8,2020-01-29
43,Kathleen,Mcknight,9,2019-02-24
44,Mark,Meyer,2,2022-05-25
45,Robert,Bowman,8,2018-10-22
46,Michelle,Mitchell,5,2019-06-10
47,Anthony,Williams,9,2019-06-26
48,Leah,Booker,1,2022-05-16
49,Travis,Haley,9,2022-07-13
50,Andrea,Bates,2,2020-05-28
51,John,Lambert,9,2020-12-12
52,Wayne,Ryan,2,2019-07-14
53,Mark,Watson,2,2022-10-19
54,Anna,Gray,9,2023-03-09
55,Ronald,Obrien,6,2023-04-30
56,Jacob,Parker,5,2023-03-07
57,Jesse,Hayden,4,2022-09-02
58,Kari,Carter,1,2019-12-04
59,Leroy,Li,4,2021-08-14
60,Desiree,Diaz,9,2021-10-19
61,Jeanette,Dunn,5,2022-08-27
62,Sydney,Moore,9,2018-08-02
63,Daniel,Rice,9,2020-06-08
64,Manuel,Garcia,4,2018-05-24
65,Kyle,Fritz,5,2022-08-24
66,Kayla,Cook,7,2017-09-04
67,Kelly,Holmes,4,2022-03-28
68,Bradley,Mckay,6,2020-03-27
69,Evan,Ramos,4,2021-08-04
70,Tonya,Melton,7,2020-05-21
71,Jasmine,Frazier,8,2018-05-24
72,Matthew,Robertson,9,2022-04-05
73,Dawn,Macias,8,2022-04-12
74,Kimberly,Guzman,5,2021-01-14
75,Michael,Taylor,5,2021-10-16
76,Jenna,Robbins,7,2018-12-20
77,Mark,Brown,3,2017-10-08
78,Holly,Lewis,1,2022-02-07
79,Brandon,Miller,5,2017-12-25
80,Richard,Williams,6,2020-06-27
81,Sarah,Park,5,2020-02-07
82,Tammy,Davis,9,2019-06-21
83,Natasha,Carter,2,2023-03-08
84,Kathleen,Baker,2,2022-11-24
